RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  258  297     0     0  con    0  1.0D+00  1.6D-01  5.649D-03  1.291D+00
  259  299     0     0  con    1  4.3D-01  2.0D-01  2.639D-02  1.291D+00
  260  300     0     0  con    0  1.0D+00  1.7D-01  1.410D-02  1.290D+00
  261  301     0     0  con    0  1.0D+00  1.7D-01  5.557D-03  1.290D+00
  262  302     0     0  con    0  1.0D+00  6.5D-02  7.568D-03  1.290D+00
  263  303     0     0  con    0  1.0D+00  6.4D-02  9.034D-03  1.290D+00
  264  304     0     0  con    0  1.0D+00  4.0D-02  9.202D-03  1.289D+00
  265  306     0     0  con    1  3.7D-01  1.5D-01  1.128D-02  1.289D+00
  266  307     0     0  con    0  1.0D+00  5.1D-02  8.873D-03  1.289D+00
  267  308     0     0  con    0  1.0D+00  8.7D-02  1.476D-02  1.288D+00
  268  309     0     0  con    0  1.0D+00  2.5D-01  1.654D-02  1.288D+00
  269  310     0     0  con    0  1.0D+00  6.2D-01  1.574D-02  1.287D+00
  270  312     0     0  con    1  4.8D-01  2.8D-01  1.582D-02  1.287D+00
  271  313     0     0  con    0  1.0D+00  6.6D-01  5.593D-03  1.286D+00
  272  314     0     0  con    0  1.0D+00  1.4D-01  6.718D-03  1.286D+00
  273  316     0     0  con    1  1.3D-01  9.1D-03  1.092D-02  1.286D+00
  274  317     0     0  con    0  1.0D+00  9.6D-02  1.127D-02  1.286D+00
  275  318     0     0  con    0  1.0D+00  1.3D-01  1.269D-02  1.285D+00
  276  319     0     0  con    0  1.0D+00  2.1D-01  1.157D-02  1.285D+00
  277  321     0     0  con    1  3.3D-01  1.1D-01  1.201D-02  1.284D+00
  278  322     0     0  con    0  1.0D+00  3.9D-02  4.975D-03  1.284D+00
  279  323     0     0  con    0  1.0D+00  3.2D-02  3.650D-03  1.284D+00
  280  324     0     0  con    0  1.0D+00  3.2D-02  3.546D-03  1.284D+00
  281  325     0     0  con    0  1.0D+00  4.3D-02  5.641D-03  1.283D+00
  282  326     0     0  con    0  1.0D+00  8.9D-02  8.734D-03  1.283D+00
  283  327     0     0  con    0  1.0D+00  1.2D-01  1.276D-02  1.283D+00
  284  328     0     0  con    0  1.0D+00  5.3D-02  4.664D-03  1.282D+00
  285  329     0     0  con    0  1.0D+00  4.5D-02  1.110D-02  1.282D+00
  286  330     0     0  con    0  1.0D+00  5.4D-02  3.914D-03  1.282D+00
  287  332     0     0  con    1  5.0D+00  1.2D-01  7.195D-03  1.282D+00
  288  333     0     0  con    0  1.0D+00  2.6D-01  9.049D-03  1.281D+00
  289  334     0     0  con    0  1.0D+00  2.6D-01  5.746D-03  1.281D+00
  290  336     0     0  con    1  3.4D-01  8.2D-02  8.961D-03  1.281D+00
  291  337     0     0  con    0  1.0D+00  1.6D-02  6.474D-03  1.280D+00
  292  338     0     0  con    0  1.0D+00  4.8D-02  3.337D-03  1.280D+00
  293  339     0     0  con    0  1.0D+00  6.6D-02  4.227D-03  1.280D+00
